Name,Artist,Spotify URI
Anatani Aitakute 2004,Seiko Matsuda,spotify:track:1nnsPtTk2tCu8S5hl11xAs
Stay Gold,Hikaru Utada,spotify:track:0gyzenKZPdJ8L2K9g1IuH5
Ain't No Need of Crying,The Rance Allen Group,spotify:track:1iT8Zf8rrY4pt2ZWiXtNOV
Popular,The Weeknd,spotify:track:6WzRpISELf3YglGAh7TXcG
Good Love,Jin Dogg,spotify:track:2hv1w70K8VnUrU0VupfymA
grace,Fujii Kaze,spotify:track:7tnYsRepXLaNhqj4xtcWP2
Overloading,Mavins,spotify:track:3ES1fBQACydIODlZmQS359
Can't Let You Go,Stefflon Don,spotify:track:5YmPSElBlLt0Yy1zPOUGqi
All Mine,DJ Taj,spotify:track:33czlBnDnXarFUohTnqbNn
Fly,OVER KILL,spotify:track:0cvYy3Ei7KTanZ1572x6Sw
Suki Suki,DJ BULLSET,spotify:track:1PXUyCOlhF5GIZNnuG2ilT
N 2 Deep,Drake,spotify:track:34D6FJysnQioVingDKufuf
Bling,Blaqbonez,spotify:track:7MQ2FWFVuim1L1O3wXjkdZ
Whatever She Wants,Bryson Tiller,spotify:track:57wp7VFnV8X0pSVnYArGeJ
Down With Me,Lil Tecca,spotify:track:00n83h3zn2IrySO4Q4aTrG
Lay Up,Future,spotify:track:4iOq2DLxbRuBdrILZwOKoW
Do 2 Me,KAYTRANADA,spotify:track:5J75NvHDMTbJtLqym6CXuI
#RICHAXXHAITIAN,Mach-Hommy,spotify:track:0B0lGy8qd6kohNFUz7cneO
Be Your Girl,Teedra Moses,spotify:track:0NdKnpfDtqT4ejsW4H58x4
Silent Hill,Kendrick Lamar,spotify:track:3lzUeaCbcCDB5IXYfqWRlF
Rich Spirit,Kendrick Lamar,spotify:track:1QPreu0BNOrUfEb8HTd2qG
JoHn Muir,ScHoolboy Q,spotify:track:7sr74Bz3GBTNMQe1m4F5Ut
Deja Vu,J. Cole,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ
Made You Look,Nas,spotify:track:3qRPc4QpHGNwKFAzCdqwxA
Off Dat Drank,Rob49,spotify:track:1z3X66BhWXsSr7lHlSCiDW
Glory Glory,Little Brother,spotify:track:47zceiqEuO22zduq2XvgCr
Mutty,Conway the Machine,spotify:track:1kMr1X2SBTV6KTmlIf4psb
Trae The Truth in Ibiza,J. Cole,spotify:track:4E2fOeF5A6onC10OtnjXJa
Tried Our Best,Drake,spotify:track:3IHt4j5uAEl7iBu8Utn985
B.Y.S.,keshi,spotify:track:2yyluSgySg95O24RBkgrMR
Nosetalgia,Pusha T,spotify:track:7aK5rlTVxSgcqShPMI1TTH
I'll Make Love to You,Boyz II Men,spotify:track:7dfl9X38RhIvB3oSmmneq3
WAIT FOR U,Future,spotify:track:59nOXPmaKlBfGMDeOVGrIK
YABA,Fujii Kaze,spotify:track:1FDCEz8kY256zhDO2GjWuW
O2,Oxlade,spotify:track:1b5MhsiBGQyPjrb5zzAlXM
TSU,Drake,spotify:track:4s7QLoImIwmPi9L6dq1nVW
All Alone,B-Lovee,spotify:track:3VzlXjegD3ophiGyDcrIr7
Lion,May'n,spotify:track:0leM5c9F9CmKOait0VewdD
